0.005,454.1
0.01,384.5
0.015,400.6
0.02,399.3
0.025,411.1
0.03,513.7
0.035,450.1
0.04,496.0
0.045,570.9
0.05,405.2
0.055,408.2
0.06,430.6
0.065,397.0
0.07,419.7
0.075,396.8
0.08,394.2
0.085,375.6
0.09,368.1
0.095,421.5
0.1,406.3
0.105,394.0
0.11,394.7
0.115,381.7
0.12,421.4
0.125,528.6
0.13,584.4
0.135,396.7
0.14,408.1
0.145,434.7
0.15,421.1
0.155,548.3
0.16,602.4
0.165,516.5
0.17,420.0
0.175,449.0
0.18,382.7
0.185,451.7
0.19,394.7
0.195,368.6
0.2,372.9
0.205,396.2
0.21,430.0
0.215,403.6
0.22,407.0
0.225,384.8
0.23,388.0
0.235,373.5
0.24,442.4
0.245,419.5
0.25,464.4
